,AIRCRAFT,ORIGIN,STD_MIN,STA_MIN,ATD_MIN,Distance_km,0,1,2,3
85,E145,BLR,27766270,27766335,27766392,463.8928171,0.0,1.0,1.0,0.0
86,E145,BLR,27763390,27763455,27763485,463.8928171,0.0,1.0,1.0,0.0
87,E145,BLR,27762040,27762105,27762088,463.8928171,0.0,1.0,1.0,0.0
88,E145,BLR,27760600,27760665,27760544,463.8928171,0.0,1.0,1.0,0.0
89,E145,BLR,27759070,27759135,27759079,463.8928171,0.0,1.0,1.0,0.0
90,E145,BLR,27757630,27757695,27757705,463.8928171,0.0,1.0,1.0,0.0
91,E145,BLR,27756190,27756255,27756285,463.8928171,0.0,1.0,1.0,0.0
92,E145,BLR,27754750,27754815,27754988,463.8928171,0.0,1.0,1.0,0.0
93,E145,BLR,27751960,27752025,27752014,463.8928171,0.0,1.0,1.0,0.0
94,E145,BLR,27750520,27750585,27750523,463.8928171,0.0,1.0,1.0,0.0
95,E145,BLR,27748990,27749055,27749087,463.8928171,0.0,1.0,1.0,0.0
96,E145,BLR,27747550,27747615,27747645,463.8928171,0.0,1.0,1.0,0.0
97,E145,BLR,27746110,27746175,27746208,463.8928171,0.0,1.0,1.0,0.0
98,E145,BLR,27744670,27744735,27744779,463.8928171,0.0,1.0,1.0,0.0
99,E145,BLR,27743230,27743295,27743259,463.8928171,0.0,1.0,1.0,0.0
100,E145,BLR,27741880,27741945,27741887,463.8928171,0.0,1.0,1.0,0.0
101,E145,BLR,27740440,27740505,27740439,463.8928171,0.0,1.0,1.0,0.0
102,E145,BLR,27738910,27738975,27738913,463.8928171,0.0,1.0,1.0,0.0
103,E145,BLR,27737470,27737535,27737494,463.8928171,0.0,1.0,1.0,0.0
104,E145,BLR,27736030,27736095,27736042,463.8928171,0.0,1.0,1.0,0.0
105,E145,BLR,27734590,27734655,27734689,463.8928171,0.0,1.0,1.0,0.0
106,E145,BLR,27733150,27733215,27733191,463.8928171,0.0,1.0,1.0,0.0
107,E145,BLR,27731800,27731865,27731815,463.8928171,0.0,1.0,1.0,0.0
108,E145,BLR,27730360,27730425,27730464,463.8928171,0.0,1.0,1.0,0.0
109,E145,BLR,27728830,27728895,27728839,463.8928171,0.0,1.0,1.0,0.0
110,E145,BLR,27727390,27727455,27727406,463.8928171,0.0,1.0,1.0,0.0
111,E145,BLR,27725950,27726015,27725947,463.8928171,0.0,1.0,1.0,0.0
112,E145,BLR,27724510,27724575,27724603,463.8928171,0.0,1.0,1.0,0.0
113,E145,BLR,27723070,27723135,27723118,463.8928171,0.0,1.0,1.0,0.0
114,E145,BLR,27721720,27721785,27721895,463.8928171,0.0,1.0,1.0,0.0
115,E145,BLR,27720280,27720345,27720297,463.8928171,0.0,1.0,1.0,0.0
116,E145,BLR,27718750,27718815,27718774,463.8928171,0.0,1.0,1.0,0.0
