,AIRCRAFT,DESTINATION,STD_MIN,STA_MIN,ATD_MIN,Distance_km,0,1,2,3
115,E145,TIR,27426530.0,27426600.0,27426525.0,493.3062442177465,0.0,1.0,0.0,1.0
116,E145,TIR,27423650.0,27423720.0,27423648.0,493.3062442177465,0.0,1.0,0.0,1.0
117,E145,TIR,27422210.0,27422280.0,27422203.0,493.3062442177465,0.0,1.0,0.0,1.0
118,E145,TIR,27416450.0,27416520.0,27416565.0,493.3062442177465,0.0,1.0,0.0,1.0
119,E145,TIR,27413570.0,27413640.0,27413566.0,493.3062442177465,0.0,1.0,0.0,1.0
120,E145,TIR,27412130.0,27412200.0,27412122.0,493.3062442177465,0.0,1.0,0.0,1.0
121,E145,TIR,27409250.0,27409320.0,27409255.0,493.3062442177465,0.0,1.0,0.0,1.0
122,E145,TIR,27406370.0,27406440.0,27406384.0,493.3062442177465,0.0,1.0,0.0,1.0
123,E145,TIR,27403490.0,27403560.0,27403484.0,493.3062442177465,0.0,1.0,0.0,1.0
124,E145,TIR,27402050.0,27402120.0,27402060.0,493.3062442177465,0.0,1.0,0.0,1.0
125,E145,TIR,27399170.0,27399240.0,27399177.0,493.3062442177465,0.0,1.0,0.0,1.0
126,E145,TIR,27396290.0,27396360.0,27396294.0,493.3062442177465,0.0,1.0,0.0,1.0
127,E145,TIR,27393410.0,27393480.0,27393413.0,493.3062442177465,0.0,1.0,0.0,1.0
128,E145,TIR,27391970.0,27392040.0,27392001.0,493.3062442177465,0.0,1.0,0.0,1.0
129,E145,BLR,27913440.0,27913500.0,27913549.0,463.8928171403542,0.0,1.0,1.0,0.0
130,E145,BLR,27906240.0,27906300.0,27906262.0,463.8928171403542,0.0,1.0,1.0,0.0
131,E145,BLR,27903174.0,27903237.0,27903174.0,463.8928171403542,0.0,1.0,1.0,0.0
132,E145,BLR,27900480.0,27900540.0,27900479.0,463.8928171403542,0.0,1.0,1.0,0.0
133,E145,BLR,27897600.0,27897660.0,27897632.0,463.8928171403542,0.0,1.0,1.0,0.0
134,E145,BLR,27896160.0,27896220.0,27895980.0,463.8928171403542,0.0,1.0,1.0,0.0
135,E145,BLR,27893097.0,27893151.0,27893097.0,463.8928171403542,0.0,1.0,1.0,0.0
136,E145,BLR,27891807.0,27891855.0,27891807.0,463.8928171403542,0.0,1.0,1.0,0.0
137,E145,BLR,27890400.0,27890460.0,27890430.0,463.8928171403542,0.0,1.0,1.0,0.0
138,E145,BLR,27886080.0,27886140.0,27886057.0,463.8928171403542,0.0,1.0,1.0,0.0
139,E145,BLR,27883200.0,27883260.0,27883170.0,463.8928171403542,0.0,1.0,1.0,0.0
140,E145,BLR,27881920.0,27881985.0,27881918.0,463.8928171403542,0.0,1.0,1.0,0.0
141,E145,BLR,27880320.0,27880380.0,27880337.0,463.8928171403542,0.0,1.0,1.0,0.0
142,E145,BLR,27879040.0,27879105.0,27879030.0,463.8928171403542,0.0,1.0,1.0,0.0
143,E145,BLR,27877440.0,27877500.0,27877477.0,463.8928171403542,0.0,1.0,1.0,0.0
144,E145,BLR,27876000.0,27876060.0,27875995.0,463.8928171403542,0.0,1.0,1.0,0.0
145,E145,BLR,27874720.0,27874785.0,27874749.0,463.8928171403542,0.0,1.0,1.0,0.0
146,E145,BLR,27873120.0,27873180.0,27873077.0,463.8928171403542,0.0,1.0,1.0,0.0
147,E145,BLR,27871840.0,27871905.0,27871750.0,463.8928171403542,0.0,1.0,1.0,0.0
148,E145,BLR,27870240.0,27870300.0,27870251.0,463.8928171403542,0.0,1.0,1.0,0.0
149,E145,BLR,27868960.0,27869025.0,27868952.0,463.8928171403542,0.0,1.0,1.0,0.0
150,E145,BLR,27867360.0,27867420.0,27867375.0,463.8928171403542,0.0,1.0,1.0,0.0
151,E145,BLR,27865920.0,27865980.0,27865877.0,463.8928171403542,0.0,1.0,1.0,0.0
152,E145,BLR,27864640.0,27864705.0,27864638.0,463.8928171403542,0.0,1.0,1.0,0.0
153,E145,BLR,27863040.0,27863100.0,27863043.0,463.8928171403542,0.0,1.0,1.0,0.0
154,E145,BLR,27861629.0,27861629.0,27861581.0,463.8928171403542,0.0,1.0,1.0,0.0
155,E145,BLR,27860040.0,27860040.0,27859976.0,463.8928171403542,0.0,1.0,1.0,0.0
156,E145,BLR,27858880.0,27858945.0,27858971.0,463.8928171403542,0.0,1.0,1.0,0.0
157,E145,BLR,27857160.0,27857160.0,27857096.0,463.8928171403542,0.0,1.0,1.0,0.0
158,E145,BLR,27855840.0,27855900.0,27855808.0,463.8928171403542,0.0,1.0,1.0,0.0
159,E145,BLR,27854270.0,27854270.0,27854219.0,463.8928171403542,0.0,1.0,1.0,0.0
160,E145,BLR,27851516.0,27851516.0,27851464.0,463.8928171403542,0.0,1.0,1.0,0.0
161,E145,BLR,27850080.0,27850140.0,27850152.0,463.8928171403542,0.0,1.0,1.0,0.0
162,E145,BLR,27848639.0,27848639.0,27848589.0,463.8928171403542,0.0,1.0,1.0,0.0
163,E145,BLR,27847200.0,27847260.0,27847221.0,463.8928171403542,0.0,1.0,1.0,0.0
164,E145,BLR,27845760.0,27845820.0,27845909.0,463.8928171403542,0.0,1.0,1.0,0.0
165,E145,BLR,27844480.0,27844545.0,27844506.0,463.8928171403542,0.0,1.0,1.0,0.0
166,E145,BLR,27842880.0,27842940.0,27842907.0,463.8928171403542,0.0,1.0,1.0,0.0
167,E145,BLR,27841600.0,27841665.0,27841634.0,463.8928171403542,0.0,1.0,1.0,0.0
168,E145,BLR,27839938.0,27839938.0,27839887.0,463.8928171403542,0.0,1.0,1.0,0.0
169,E145,BLR,27837120.0,27837180.0,27837138.0,463.8928171403542,0.0,1.0,1.0,0.0
170,E145,BLR,27835680.0,27835740.0,27835681.0,463.8928171403542,0.0,1.0,1.0,0.0
171,E145,BLR,27834400.0,27834465.0,27834476.0,463.8928171403542,0.0,1.0,1.0,0.0
172,E145,BLR,27832800.0,27832860.0,27832848.0,463.8928171403542,0.0,1.0,1.0,0.0
173,E145,BLR,27831391.0,27831391.0,27831331.0,463.8928171403542,0.0,1.0,1.0,0.0
174,E145,BLR,27829920.0,27829980.0,27829995.0,463.8928171403542,0.0,1.0,1.0,0.0
175,E145,BLR,27828640.0,27828705.0,27828754.0,463.8928171403542,0.0,1.0,1.0,0.0
176,E145,BLR,27826917.0,27826917.0,27826851.0,463.8928171403542,0.0,1.0,1.0,0.0
177,E145,BLR,27825600.0,27825660.0,27825579.0,463.8928171403542,0.0,1.0,1.0,0.0
178,E145,BLR,27824320.0,27824385.0,27824326.0,463.8928171403542,0.0,1.0,1.0,0.0
179,E145,BLR,27822720.0,27822780.0,27822576.0,463.8928171403542,0.0,1.0,1.0,0.0
180,E145,BLR,27821182.0,27821182.0,27821128.0,463.8928171403542,0.0,1.0,1.0,0.0
181,E145,BLR,27819840.0,27819900.0,27819855.0,463.8928171403542,0.0,1.0,1.0,0.0
